storeno	city	zip
2145	GAINESVILLE	32605
2148	ORANGE CITY	32763
2149	MYRTLE BEACH	29588
2150	LEES SUMMIT	64081
2151	CINCINNATI	45213
2153	COLLIERVILLE	38017
2154	FOLEY	36535
2155	BENTON	72015
2156	HIXSON	37343
2157	WICHITA	67209
2160	HAYWARD	94541
2161	GREELEY	80634
2162	BROOKSVILLE	34613
2163	OKLAHOMA CITY	73132
2164	AVON	46123
2165	PARKER	80134
2167	KANSAS CITY	64157
2168	PACE	32571
2169	PENSACOLA	32534
2171	CONYERS	30013
2172	HOUSTON	77040
2174	MERIDIAN	39301
2175	BAKERSFIELD	93312
2177	WASHINGTON	27889
2178	PORT ARTHUR	77640
2179	CONWAY	29526
2180	MUNHALL	15120
2181	GIG HARBOR	98332
2182	GRAND PRAIRIE	75052
2185	BEAUMONT	77706
2187	DENVER	80238
2188	LAUREL	39440
2190	WICHITA	67226
2191	TAMPA	33634
2192	CASTLE ROCK	80104
2193	AUGUSTA	30909
2194	SANDY SPRINGS	30328
2195	HOUSTON	77063
2196	LEXINGTON	29072
2197	BONNEY LAKE	98391
2198	LAS VEGAS	89135
2200	NORTH MYRTLE BEACH	29582
2201	WHEATON	60189
2202	LAPEER	48446
2203	DANVILLE	40422
2204	WEST LAKE HILLS	78746
2206	LOS ANGELES	90035
2207	ROSEDALE	21237
2208	WINDSOR	95492
2209	MARIETTA	30066
2210	CHULA VISTA	91914
2215	FULLERTON	92831
2217	SAN FRANCISCO	94103
2218	SAN ANTONIO	78216
2219	TROY	48083
2220	DALLAS	75225
2224	PEARLAND	77584
2225	OPELIKA	36801
2226	ATLANTA	30329
2227	HOUSTON	77095
2228	KEMAH	77565
2229	ALBUQUERQUE	87110
2230	LAKEWOOD	98499
2231	LAS VEGAS	89148
2232	SAN CLEMENTE	92673
2233	NORTH CHARLESTON	29406
2234	BRISTOL	24202
2236	ATHENS	30606
2237	ROCKY MOUNT	27804
2240	CHARLOTTE	28203
2242	SAN ANTONIO	78258
2244	ATLANTA	30324
2246	KIRKWOOD	63122
2247	PEWAUKEE	53072
2249	DELRAY BEACH	33483
2250	HOUSTON	77056
2252	OKLAHOMA CITY	73112
2253	PEMBROKE PINES	33026
2254	LONGVIEW	75605
2255	WATAUGA	76148
2256	ROHNERT PARK	94928
2259	MIAMI	33172
